2001 super output areas - lower layer,mnemonic,"22 : Publishing, printing and reproduction of recorded media",,24 : Manufacture of chemicals and chemical products,,30 : Manufacture of office machinery and computers,,"32 : Manufacture of radio, television and communication equipment and apparatus",,"33 : Manufacture of medical, precision and optical instruments, watches and clocks",,"50 : Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel",,"51 : Wholesale trade and commission trade, except of motor vehicles and motorcycles",,64 : Post and telecommunications,,"65 : Financial intermediation, except insurance and pension funding",,"66 : Insurance and pension funding, except compulsory social security",,67 : Activities auxiliary to financial intermediation,,72 : Computer and related activites,,73 : Research and development,,74 : Other business activities,,75 : Public administration and defence; compulsory social security,,80 : Education,,85 : Health and social work,,"92 : Recreational, cultural and sporting activities"
Camden 024B,E01000938,15,,0,,0,,5,,0,,5,,5,,0,,0,,0,,0,,15,,0,,1250,,0,,50,,600,,75
Camden 024C,E01000939,0,,0,,0,,0,,0,,0,,150,,30,,30,,0,,0,,75,,15,,650,,40,,35,,700,,30
Camden 024D,E01000940,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,0,,0,,30,,0,,75,,0,,10
Camden 024A,E01000936,5,,0,,0,,0,,0,,0,,25,,0,,0,,0,,0,,35,,0,,250,,0,,125,,10,,40
Camden 025B,E01000937,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,10,,25,,75,,250,,225,,75
Camden 025A,E01000853,0,,0,,0,,0,,0,,0,,0,,10,,10,,0,,125,,100,,0,,60,,5,,5,,50,,30
Camden 025C,E01000941,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,300,,0,,100,,75,,0
Camden 025D,E01000942,5,,0,,0,,0,,0,,0,,20,,100,,150,,0,,5,,250,,50,,450,,1500,,175,,900,,35
Camden 025E,E01000943,200,,0,,0,,0,,0,,0,,5,,0,,15,,75,,30,,75,,5,,450,,175,,10,,150,,50
Camden 026D,E01000854,35,,15,,0,,0,,0,,0,,100,,15,,100,,0,,10,,75,,2500,,4750,,600,,1500,,550,,475
Camden 026A,E01000850,130,,0,,0,,0,,0,,0,,180,,100,,75,,0,,45,,950,,75,,4000,,350,,1500,,100,,950
Camden 026B,E01000851,550,,0,,10,,5,,0,,0,,130,,350,,0,,5,,5,,210,,100,,4250,,0,,350,,240,,275
Camden 026C,E01000852,10,,0,,0,,0,,0,,5,,10,,10,,0,,0,,20,,30,,700,,425,,0,,800,,50,,50
Camden 027D,E01000920,150,,0,,0,,0,,10,,0,,80,,75,,10,,5,,15,,220,,5,,1625,,800,,75,,100,,1125
Camden 027A,E01000915,25,,0,,0,,0,,0,,0,,10,,0,,5,,0,,30,,75,,500,,1125,,1250,,100,,3000,,75
Camden 027B,E01000916,300,,0,,0,,0,,10,,5,,1625,,20,,125,,0,,125,,900,,35,,4750,,0,,150,,125,,500
Camden 027C,E01000917,15,,0,,0,,0,,0,,0,,10,,0,,1500,,0,,5,,350,,0,,1250,,0,,100,,45,,10
Camden 028C,E01000918,425,,0,,0,,0,,0,,5,,240,,700,,240,,400,,400,,450,,800,,10500,,1250,,1500,,350,,2500
Camden 028D,E01000919,900,,0,,0,,5,,0,,0,,140,,25,,425,,0,,5,,900,,5,,3000,,125,,400,,75,,700
Camden 028B,E01000914,1125,,10,,5,,0,,0,,20,,750,,250,,325,,20,,850,,1000,,600,,19000,,1000,,2000,,475,,1250
Camden 028A,E01000855,300,,0,,0,,5,,5,,5,,180,,50,,25,,0,,100,,250,,175,,1750,,800,,4500,,250,,1625
City of London 001A,E01000001,75,,0,,0,,5,,0,,0,,75,,5,,4750,,0,,350,,175,,10,,2750,,125,,30,,0,,300
City of London 001B,E01000002,125,,0,,0,,5,,0,,0,,500,,100,,9000,,1000,,1875,,425,,15,,6500,,500,,600,,40,,600
City of London 001C,E01000003,0,,0,,5,,0,,0,,0,,5,,0,,500,,15,,0,,35,,10,,140,,5,,5,,35,,0
City of London 001D,E01000004,3250,,15,,5,,30,,15,,50,,3750,,3750,,51000,,10500,,51000,,11000,,140,,81500,,4750,,2750,,3000,,1500
City of London 001E,E01000005,50,,5,,0,,20,,0,,0,,130,,1250,,2000,,375,,7000,,900,,0,,3250,,20,,300,,40,,50
Hackney 001A,E01001808,30,,0,,0,,0,,0,,0,,75,,0,,35,,5,,0,,5,,0,,30,,0,,30,,100,,40
Hackney 001B,E01001809,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,300,,15,,0
Hackney 001C,E01001814,0,,0,,0,,0,,0,,0,,20,,10,,15,,0,,0,,5,,0,,15,,0,,225,,35,,5
Hackney 001D,E01001823,0,,0,,0,,0,,0,,0,,35,,0,,0,,0,,0,,0,,0,,25,,0,,0,,5,,0
Hackney 001E,E01001825,0,,0,,0,,0,,0,,0,,15,,0,,5,,0,,5,,0,,0,,5,,0,,225,,0,,0
Hackney 002E,E01001813,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0
Hackney 002C,E01001810,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,75,,35,,5
Hackney 002D,E01001811,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,25,,5,,0
Hackney 002A,E01001714,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,10,,0,,0,,75,,10
Hackney 002B,E01001721,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,100,,5,,0
Hackney 003E,E01001812,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,75,,10,,0
Hackney 003D,E01001807,0,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,200,,25,,0
Hackney 003A,E01001799,0,,0,,0,,0,,0,,0,,0,,100,,5,,0,,0,,0,,0,,15,,0,,75,,5,,10
Hackney 003B,E01001802,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,15,,0,,0
